line : 148 [-6, -11, -16, -26, 8, 30, 60, -120, [-6, 4], (117598465432381696*L^4+139875540583754304*L^3+31581987366193569*L^2-5749560745290000*L+680741317800000), false]
line : 149 [-11, -16, -26, -4, 30, 60, -120, 3, [-16, 4], (66961*L^2+67144*L+17424)*(14564387*L^2+7919366*L+1078947), false]
line : 150 [-16, -26, -4, -6, 60, -120, 3, 8, [-60, 1], (2191067137011100155904*L^4+6723079840735913134080*L^3+9816130868985366968025*L^2+1117788807971795895000*L+46604802162350250000), false]
line : 151 [-26, -4, -6, -11, -120, 3, 8, 30, [-120, 16], (702484100103521157420943*L^4+5657865342329185262739720*L^3+13157805086851041860254200*L^2+588081611514017338740000*L+19329239417135595750000), false]
line : 152 [-4, -6, -11, -16, 3, 8, 30, 60, [240, 1156], (5200690637265687244879261*L^4-2809917011226828821422230*L^3+546026279238527172075225*L^2-44621836073772388695000*L+1302502340779472250000), false]
line : 153 [10, -13, 23, -17, 9, 12, -24, 72, [-6, 4], (400070038484536554092000*L^4-100698790231989312402336*L^3+17940378760562980465749*L^2-484984373411791280160*L+5226126456710921472), false]
line : 154 [-13, 23, -17, -4, 12, -24, 72, 3, [-18, 64], (112407264287455170053891536036*L^4+19684602451658615910887304228*L^3+1097875768970692694330082729*L^2+2227735387123641231764832*L+1266382849452275978496), false]
line : 155 [23, -17, -4, 10, -24, 72, 3, 9, [-24, 121], (12775997043209484915374592125*L^4-240601137458021153290292640*L^3+4995687278005184932422912*L^2-795743276767634800410624*L+16540725297351100465152), false]
line : 156 [-17, -4, 10, -13, 72, 3, 9, 12, [48, 625], (40534684251329988995975929590625*L^4-2327390842104135136515093830400*L^3+52824545503939982418924681216*L^2-486561664655420421651038208*L+1542450096606823213694976), false]
line : 157 [-4, 10, -13, 23, 3, 9, 12, -24, [-144, 1], (7113904932125476603772911*L^4-15615227869669284987295488*L^3+24888503349339588675422208*L^2+1439307126503554348744704*L+25849002633458000855040), false]
line : 158 [-10, 12, -22, -172, 9, 32, 40, -1440, [-6, 4], (105013724955869623766251061200*L^4-26698933878444126077949488760*L^3+4271635809419700710202796593*L^2-30566932191903849950990880*L+1390986428499577236254976), false]
line : 159 [12, -22, -172, -4, 32, 40, -1440, 3, [-18, 64], (165283115979720968485127648755228*L^4-7967663020921336380671897000556*L^3+127388120007893652073520822367*L^2-22461626926612733847503012064*L+882859121133342838953815808), false]
line : 160 [-22, -172, -4, -10, 40, -1440, 3, 9, [-64, 16], (6972280675*L^2+28057233240*L+28485378864)*(53725471477*L^2-34824310*L+938389), false]
line : 161 [-172, -4, -10, 12, -1440, 3, 9, 32, [-80, 324], (61160256979741639249213246353*L^4-5053288127171524848187401840*L^3+43978908680404961594617120*L^2+5962421977157563460704000*L+60480702800419831225600), false]
line : 162 [-4, -10, 12, -22, 3, 9, 32, 40, [2880, 35344], (553956929738286989107929997286023432351*L^4-32533597806169456684562569197561271080*L^3+766580353284853590067878999072726960*L^2-8510976893622638301705909356486400*L+38431754598452882143062514867200), false]
line : 163 [-7, -7, -10, 3, 10, 10, -39, -130, [-6, 4], (2*L+3)^2*(63283*L+14544)^2, true]
line : 164 [-7, -10, 3, -4, 10, -39, -130, 3, [-20, 9], (9*L+20)^2*(394189181*L^2+15811708000*L+750200000), true]
line : 165 [-10, 3, -4, -7, -39, -130, 3, 10, [-20, 9], (9*L+20)^2*(394189181*L^2+15811708000*L+750200000), true]
line : 166 [3, -4, -7, -7, -130, 3, 10, 10, [78, 256], (128*L-39)^2*(872251*L-147888)^2, true]
line : 167 [-4, -7, -7, -10, 3, 10, 10, -39, [260, 529], (529*L-260)^2*(387733*L+128700)^2, true]
line : 168 [-7, -7, -12, 5, 10, 12, -85, -204, [-6, 4], (2*L+3)^2*(339757009*L^2+459372960*L+77594112), true]
line : 169 [-7, -12, 5, -4, 12, -85, -204, 3, [-20, 9], (9*L+20)^2*(12807104857*L^2+29388539530*L+2498619025), true]
line : 170 [-12, 5, -4, -7, -85, -204, 3, 10, [-24, 1], (L+24)^2*(2481245684155249*L^2+689289553014192*L+31443794160192), true]
line : 171 [5, -4, -7, -7, -204, 3, 10, 12, [170, 484], (242*L-85)^2*(858689647579909*L^2-458687944308960*L+57763374220800), true]
line : 172 [-4, -7, -7, -12, 3, 10, 12, -85, [408, 841], (841*L-408)^2*(242711656115519*L^2-32832381758544*L-59057631987264), true]
line : 173 [-8, -8, -8, -13, 15, 15, 15, -30, [-6, 4], 1, false]
line : 174 [-8, -8, -13, -4, 15, 15, -30, 3, [-30, 4], (40045289*L^2+8073480*L+6858000)^2, false]
line : 175 [-8, -13, -4, -8, 15, -30, 3, 15, [-30, 4], (40045289*L^2+8073480*L+6858000)^2, false]
line : 176 [-13, -4, -8, -8, -30, 3, 15, 15, [-30, 4], (40045289*L^2+8073480*L+6858000)^2, false]
line : 177 [-4, -8, -8, -8, 3, 15, 15, 15, [60, 289], 1, false]
line : 178 [-6, -11, -18, 39, 5, 10, -19, 380, [-8, 9], (3881994903*L^2-410239728*L+36087232)^2, false]
line : 179 [-11, -18, 39, -5, 10, -19, 380, 4, [-10, 16], (4545307514559306966128*L^4-1176833280856515689000*L^3+113470221614527264875*L^2-5642922049183300000*L+337718475592000000), false]
line : 180 [-18, 39, -5, -6, -19, 380, 4, 5, [-20, 81], (239425117977313496634336*L^4-25345790204503315923000*L^3+382406106364641028125*L^2+16679989124308125000*L+104778012531250000), false]
line : 181 [39, -5, -6, -11, 380, 4, 5, 10, [38, 400], (85829495679363279846243024*L^4+1125470686845272410992456*L^3-12104669918874464043271*L^2-2058616002046369136864*L+26004520839259518464), false]
line : 182 [-5, -6, -11, -18, 4, 5, 10, -19, [-760, 1], (20942336508399176772166866061*L^4-80540871527554837570083935200*L^3+77069800850770977742939056000*L^2+750978190349129919212800000*L+2177610074298983744000000), false]
line : 183 [-6, 12, 19, -21, 5, 11, -20, 110, [-8, 9], (48568167*L^2-3197592*L+782848)^2, false]
line : 184 [12, 19, -21, -5, 11, -20, 110, 4, [-10, 16], (11996245639175025743228*L^4-3250183005718923759100*L^3+405087328110868084875*L^2-33019545639526300000*L+2460979832972000000), false]
line : 185 [19, -21, -5, -6, -20, 110, 4, 5, [-22, 100], (8795367961560068189533456256*L^4+1299843284326283093950169584*L^3+54453146944419130435105941*L^2+435908965494382759447904*L+986565213635669468416), false]
line : 186 [-21, -5, -6, 12, 110, 4, 5, 11, [40, 441], (95329094416017891284813326364961*L^4-6793771479513502522970308633200*L^3+169270514033832711140913576000*L^2-1698082912311476474649600000*L+5903774965386317824000000), false]
line : 187 [-5, -6, 12, 19, 4, 5, 11, -20, [-220, 1], (25995046571036803213932889*L^4-133884250968089285873052800*L^3+178060389348910838890560000*L^2+6759327996821982208000000*L+64446407663334400000000), false]
line : 188 [-8, -11, -11, -4, 12, -60, -60, 4, [-10, 16], (913*L-40)^2*(25083*L+5200)^2, false]
line : 189 [-11, -11, -4, -6, -60, -60, 4, 5, [-24, 16], (8218300*L^2+26474319*L+2116368)^2, false]
line : 190 [-11, -4, -6, -8, -60, 4, 5, 12, [120, 361], (1813581157999471314769*L^4-2089392445995274075320*L^3+798317888377834544400*L^2-126560091512952000000*L+7196795542080000000), false]
line : 191 [-4, -6, -8, -11, 4, 5, 12, -60, [120, 361], (1813581157999471314769*L^4-2089392445995274075320*L^3+798317888377834544400*L^2-126560091512952000000*L+7196795542080000000), false]
